Name,Location,MD5
Checksum_NonRecursiveFolder.py,C:/Users/Hp/Documents/Python Developer Course/Resources/Checksum_NonRecursiveFolder.py,98E656A9A17CDBA91681F52A17386F16
Checksum_RecursiveFolder.py,C:/Users/Hp/Documents/Python Developer Course/Resources/Checksum_RecursiveFolder.py,217174201EA261D0F1425CFB1D69BF92
E3.py,C:/Users/Hp/Documents/Python Developer Course/Resources/E3.py,6D0B8F4A47670B973E610E41B17945B8
E5.py,C:/Users/Hp/Documents/Python Developer Course/Resources/E5.py,2A9C6D3947B00B356D1A6CD9EACDF2EA
